date,low,high,average,open,close,daily_avg
2025-12-09,1.37,1.597,1.421,1.379,1.463,1.4835
2025-12-10,1.463,1.548,1.4700000000000002,1.463,1.477,1.5055
2025-12-11,1.4,1.484,1.461,1.477,1.445,1.442
2025-12-12,1.397,1.498,1.4605000000000001,1.445,1.476,1.4475
2025-12-13,1.462,1.553,1.5055,1.476,1.535,1.5074999999999998
2025-12-14,1.451,1.553,1.502,1.535,1.469,1.502
2025-12-15,1.4,1.525,1.459,1.469,1.449,1.4625
2025-12-16,1.384,1.449,1.432,1.449,1.415,1.4165
2025-12-17,1.311,1.441,1.3655,1.415,1.316,1.376
2025-12-18,1.243,1.354,1.2875,1.316,1.259,1.2985000000000002
2025-12-19,1.247,1.367,1.306,1.259,1.353,1.307
2025-12-20,1.334,1.36,1.347,1.353,1.341,1.347
2025-12-21,1.27,1.345,1.3125,1.341,1.284,1.3075
2025-12-22,1.276,1.335,1.295,1.284,1.306,1.3054999999999999
2025-12-23,1.263,1.314,1.3014999999999999,1.306,1.297,1.2885
2025-12-24,1.246,1.303,1.2839999999999998,1.297,1.271,1.2745
2025-12-25,1.232,1.29,1.2530000000000001,1.271,1.235,1.2610000000000001
2025-12-26,1.224,1.272,1.239,1.235,1.243,1.248
2025-12-27,1.24,1.262,1.2515,1.243,1.26,1.251
2025-12-28,1.24,1.263,1.2525,1.26,1.245,1.2515
2025-12-29,1.239,1.291,1.2435,1.245,1.242,1.2650000000000001
2025-12-30,1.24,1.255,1.245,1.242,1.248,1.2475
2025-12-31,1.205,1.258,1.2365,1.248,1.225,1.2315
2026-01-01,1.22,1.283,1.254,1.225,1.283,1.2515
2026-01-02,1.272,1.35,1.3125,1.283,1.342,1.311
2026-01-03,1.305,1.359,1.338,1.342,1.334,1.3319999999999999
2026-01-04,1.333,1.419,1.367,1.334,1.4,1.376
